ID_Commande,Date_Commande,Date_Expedition,ID_Client,ID_Produit,Quantite,Prix_Unitaire
43659,2019-05-31,2019-06-07,1045,776,1,"2024,994"
43659,2019-05-31,2019-06-07,1045,777,3,"2024,994"
43659,2019-05-31,2019-06-07,1045,778,1,"2024,994"
43659,2019-05-31,2019-06-07,1045,771,1,"2039,994"
43659,2019-05-31,2019-06-07,1045,772,1,"2039,994"
43659,2019-05-31,2019-06-07,1045,773,2,"2039,994"
43659,2019-05-31,2019-06-07,1045,774,1,"2039,994"
43659,2019-05-31,2019-06-07,1045,714,3,"28,8404"
43659,2019-05-31,2019-06-07,1045,716,1,"28,8404"
43659,2019-05-31,2019-06-07,1045,709,6,"5,7"
43659,2019-05-31,2019-06-07,1045,712,2,"5,1865"
43659,2019-05-31,2019-06-07,1045,711,4,"20,1865"
43660,2019-05-31,2019-06-07,721,762,1,"419,4589"
43660,2019-05-31,2019-06-07,721,758,1,"874,794"
43661,2019-05-31,2019-06-07,851,745,1,"809,76"
43661,2019-05-31,2019-06-07,851,743,1,"714,7043"
43661,2019-05-31,2019-06-07,851,747,2,"714,7043"
43661,2019-05-31,2019-06-07,851,712,4,"5,1865"
43661,2019-05-31,2019-06-07,851,715,4,"28,8404"
43661,2019-05-31,2019-06-07,851,742,2,"722,5949"
43661,2019-05-31,2019-06-07,851,775,3,"2024,994"
43661,2019-05-31,2019-06-07,851,778,2,"2024,994"
43661,2019-05-31,2019-06-07,851,711,2,"20,1865"
43661,2019-05-31,2019-06-07,851,741,2,"818,7"
43661,2019-05-31,2019-06-07,851,776,4,"2024,994"
43661,2019-05-31,2019-06-07,851,773,2,"2039,994"
43661,2019-05-31,2019-06-07,851,716,2,"28,8404"
43661,2019-05-31,2019-06-07,851,777,2,"2024,994"
43661,2019-05-31,2019-06-07,851,708,5,"20,1865"
43662,2019-05-31,2019-06-07,1417,764,3,"419,4589"
43662,2019-05-31,2019-06-07,1417,770,5,"419,4589"
43662,2019-05-31,2019-06-07,1417,730,2,"183,9382"
43662,2019-05-31,2019-06-07,1417,754,4,"874,794"
43662,2019-05-31,2019-06-07,1417,725,3,"183,9382"
43662,2019-05-31,2019-06-07,1417,762,5,"419,4589"
43662,2019-05-31,2019-06-07,1417,765,3,"419,4589"
43662,2019-05-31,2019-06-07,1417,768,2,"419,4589"
43662,2019-05-31,2019-06-07,1417,753,1,"2146,962"
43662,2019-05-31,2019-06-07,1417,756,1,"874,794"
43662,2019-05-31,2019-06-07,1417,763,3,"419,4589"
43662,2019-05-31,2019-06-07,1417,732,1,"356,898"
43662,2019-05-31,2019-06-07,1417,758,6,"874,794"
43662,2019-05-31,2019-06-07,1417,729,1,"183,9382"
43662,2019-05-31,2019-06-07,1417,722,3,"178,5808"
43662,2019-05-31,2019-06-07,1417,749,1,"2146,962"
43662,2019-05-31,2019-06-07,1417,760,3,"419,4589"
43662,2019-05-31,2019-06-07,1417,726,1,"183,9382"
43662,2019-05-31,2019-06-07,1417,733,1,"356,898"
43662,2019-05-31,2019-06-07,1417,738,1,"178,5808"
43662,2019-05-31,2019-06-07,1417,766,3,"419,4589"
43662,2019-05-31,2019-06-07,1417,755,1,"874,794"
43663,2019-05-31,2019-06-07,483,760,1,"419,4589"
43664,2019-05-31,2019-06-07,1205,772,1,"2039,994"
43664,2019-05-31,2019-06-07,1205,775,4,"2024,994"
43664,2019-05-31,2019-06-07,1205,714,1,"28,8404"
43664,2019-05-31,2019-06-07,1205,716,1,"28,8404"
43664,2019-05-31,2019-06-07,1205,777,2,"2024,994"
43664,2019-05-31,2019-06-07,1205,771,3,"2039,994"
43664,2019-05-31,2019-06-07,1205,773,1,"2039,994"
43664,2019-05-31,2019-06-07,1205,778,1,"2024,994"
43665,2019-05-31,2019-06-07,517,711,2,"20,1865"
43665,2019-05-31,2019-06-07,517,773,1,"2039,994"
